2026-04-25 09:02:08.820 [http-nio-8081-exec-7] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:16.832 [http-nio-8081-exec-8] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:19.758 [http-nio-8081-exec-9] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:32.253 [http-nio-8081-exec-10] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:34.421 [http-nio-8081-exec-1] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:38.449 [http-nio-8081-exec-2] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:41.221 [http-nio-8081-exec-3] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:48.484 [http-nio-8081-exec-4] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:02:50.090 [http-nio-8081-exec-5] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:00.472 [http-nio-8081-exec-6] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:02.450 [http-nio-8081-exec-7] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:05.274 [http-nio-8081-exec-8] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:11.570 [http-nio-8081-exec-9] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:18.396 [http-nio-8081-exec-10] WARN  com.hxy.ai.robot.exception.GlobalExceptionHandler - /chat/message/list request error, errorCode: 10001, errorMessage: chatId 对话 ID 不能为空, 当前值: 'null'; 
2026-04-25 09:03:19.370 [http-nio-8081-exec-1] INFO  com.hxy.ai.robot.aspect.ApiOperationLogAspect - ====== 请求开始: [Markdown 问答文件分页查询], 入参: {"current":1,"size":10}, 请求类: AiCustomerServiceController, 请求方法: findMarkdownFilePageList =================================== 
